                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5056,                 1.1965,                 1.7042,                 0.5717,                0.60811,                0.59882,                0.30938,                 1.5493,                 1.1002,                 1.7989,             0.00061203,             0.00061203,             0.00061203
                     35,                 1.4908,                 1.2003,                 1.7122,                0.56981,                0.60032,                0.59064,                0.30902,                 1.5564,                 1.0939,                 1.8022,             0.00060303,             0.00060303,             0.00060303
                     36,                 1.4809,                 1.1826,                 1.6966,                0.58657,                0.60544,                0.60418,                0.30848,                  1.546,                  1.086,                 1.7981,             0.00059403,             0.00059403,             0.00059403
                     37,                 1.4878,                 1.1871,                 1.7026,                0.55918,                0.61655,                 0.5959,                 0.3028,                 1.5706,                 1.1168,                 1.8093,             0.00058503,             0.00058503,             0.00058503
                     38,                 1.4553,                  1.154,                 1.6817,                0.56263,                0.59945,                0.60255,                0.31096,                 1.5489,                 1.1101,                 1.8028,             0.00057603,             0.00057603,             0.00057603
                     39,                  1.462,                 1.1535,                 1.6789,                0.57605,                0.58317,                0.58022,                0.30359,                 1.5501,                 1.0923,                 1.7918,             0.00056703,             0.00056703,             0.00056703
                     40,                 1.4559,                 1.1385,                 1.6684,                0.58847,                0.60838,                0.60003,                0.31303,                 1.5297,                 1.0764,                  1.776,             0.00055804,             0.00055804,             0.00055804
                     41,                 1.4602,                 1.1537,                  1.686,                0.59394,                 0.6247,                0.62072,                0.32242,                 1.5394,                 1.0686,                 1.7509,             0.00054904,             0.00054904,             0.00054904
                     42,                 1.4661,                 1.1416,                 1.6823,                0.56473,                0.62777,                0.61102,                0.31543,                 1.5289,                 1.0496,                 1.7726,             0.00054004,             0.00054004,             0.00054004
                     43,                 1.4406,                 1.1211,                 1.6675,                 0.5753,                0.62179,                0.61635,                0.32234,                 1.5233,                 1.0762,                 1.7651,             0.00053104,             0.00053104,             0.00053104
                     44,                 1.4363,                 1.1048,                 1.6583,                0.59276,                0.62648,                0.61002,                 0.3162,                 1.5454,                 1.0308,                  1.774,             0.00052204,             0.00052204,             0.00052204
                     45,                 1.4429,                  1.123,                 1.6736,                0.61022,                 0.6247,                 0.6183,                0.32648,                 1.5232,                 1.0295,                 1.7719,             0.00051304,             0.00051304,             0.00051304
                     46,                   1.43,                 1.1034,                 1.6582,                0.61687,                0.63672,                0.63271,                0.32947,                 1.5083,                 1.0187,                  1.752,             0.00050404,             0.00050404,             0.00050404
                     47,                 1.4257,                 1.0912,                 1.6435,                0.60333,                0.63318,                0.62727,                0.33326,                 1.5167,                 1.0187,                 1.7533,             0.00049504,             0.00049504,             0.00049504
                     48,                 1.4074,                 1.0687,                 1.6287,                0.61829,                0.62315,                0.62743,                0.33514,                 1.5194,                  1.006,                 1.7548,             0.00048604,             0.00048604,             0.00048604
